LATITUDE,LONGITUDE,DATE,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp
34.7273,-92.2389,1/15/15 13:53,,,,,
34.7273,-92.2389,1/15/15 14:53,,,,,
34.7273,-92.2389,1/15/15 15:53,,,,,
34.7273,-92.2389,1/15/15 16:53,,,,,
34.7273,-92.2389,1/15/15 17:53,,,,,
34.7273,-92.2389,1/15/15 18:53,,,,,
34.7273,-92.2389,1/15/15 19:53,,,,,
34.7273,-92.2389,1/15/15 20:53,,,,,
34.7273,-92.2389,1/15/15 21:53,,,,,
34.7273,-92.2389,1/15/15 22:53,,,,,
34.7273,-92.2389,1/15/15 23:53,52,32,,,
34.7273,-92.2389,1/15/15 23:59,52,32,,,
34.7273,-92.2389,1/16/15 0:53,,,,,
34.7273,-92.2389,1/16/15 1:53,,,,,
34.7273,-92.2389,1/16/15 2:53,,,,,
34.7273,-92.2389,1/16/15 3:53,,,,,
34.7273,-92.2389,1/16/15 4:53,,,,,
34.7273,-92.2389,1/16/15 5:53,,,,,
34.7273,-92.2389,1/16/15 6:53,,,,,
34.7273,-92.2389,1/16/15 7:53,,,,,
34.7273,-92.2389,1/16/15 8:53,,,,,
34.7273,-92.2389,1/16/15 9:53,,,,,
34.7273,-92.2389,1/16/15 10:53,,,,,
34.7273,-92.2389,1/16/15 11:53,,,,,
34.7273,-92.2389,1/16/15 12:53,,,,,
34.7273,-92.2389,1/16/15 13:53,,,,,
34.7273,-92.2389,1/16/15 14:53,,,,,
34.7273,-92.2389,1/16/15 15:53,,,,,
34.7273,-92.2389,1/16/15 16:53,,,,,
34.7273,-92.2389,1/16/15 17:53,,,,,
34.7273,-92.2389,1/16/15 18:53,,,,,
34.7273,-92.2389,1/16/15 19:53,,,,,
34.7273,-92.2389,1/16/15 20:53,,,,,
34.7273,-92.2389,1/16/15 21:53,,,,,
