Incident Number,District,Offense Description,Incident Address,Incident Date
2015-002268,63,Aggravated Robbery (Business),"7601 CANTRELL RD
Little Rock, Arkansas
(34.77203, -92.358408)",1/6/15
2015-085377,50,Breaking or Entering Vehicle,"819 N PIERCE ST
Little Rock, Arkansas
(34.759077, -92.338005)",7/28/15
2015-028838,91,Theft of property Misd,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.3767)",3/18/15
2015-133042,54,Burglary - Residential,"4608 PRINCETON DR
Little Rock, Arkansas
(34.736052, -92.32576)",11/20/15
2015-051735,64,Theft of property Felony,"11011 MARA LYNN RD
Little Rock, Arkansas
(34.757656, -92.396728)",05/11/2015-05/12/2015
2014-009923,40,Burglary Commercial,"701 SCOTT ST
Little Rock, Arkansas
(34.741563, -92.270351)",01/09/2014-01/27/2014
2015-053241,53,Theft of property Misd,"3619 W ROOSEVELT RD
Little Rock, Arkansas
(34.725819, -92.314664)",5/15/15
2015-135849,93,Theft of property Felony,"13325 INTERSTATE 30
Little Rock, Arkansas
(34.64049, -92.444372)",11/28/15
2015-109257,62,Burglary - Residential,"57 PURDUE
Little Rock, Arkansas
(34.721225, -92.346016)",9/22/15
2014-149283,61,Theft of property Felony,"1601 WESTPARK DR
Little Rock, Arkansas
(34.737249, -92.350613)",12/24/2014-12/29/2014
2015-088475,81,Aggravated Robbery (Individual),"3 MYSTERY CV
Little Rock, Arkansas
(34.698168, -92.337905)",8/4/15
2015-122249,64,Burglary Commercial,"10800 KANIS RD
Little Rock, Arkansas
(34.743086, -92.394894)",10/20/2015-10/24/2015
2015-007843,90,Burglary - Residential,"8902 HERNDON RD
Little Rock, Arkansas
(34.695461, -92.375257)",1/21/15
2015-058441,64,Theft of property Felony,"4712 BOWERS ST
Little Rock, Arkansas
(34.710381, -92.378838)",05/27/2015-05/28/2015
2015-016068,50,Theft of property Misd,"614 BEECHWOOD ST
Little Rock, Arkansas
(34.756976, -92.324201)",2/11/15
2015-131980,63,Theft of property Felony,"43 COACHLIGHT DR
Little Rock, Arkansas
(34.76591, -92.381066)",10/31/2015-11/17/2015
2015-080674,70,Theft of property Misd,"1601 N SHACKLEFORD RD
Little Rock, Arkansas
(34.768212, -92.395807)",7/17/15
2015-070674,91,Burglary - Residential,"11500 CHICOT RD
Little Rock, Arkansas
(34.647283, -92.3635)",6/25/15
2015-084458,82,Aggravated assault,"8823 SCOTT HAMILTON DR
Little Rock, Arkansas
(34.668471, -92.317952)",7/26/15
2015-093199,64,Theft of property Misd,"2600 S SHACKLEFORD RD
Little Rock, Arkansas
(34.733384, -92.394707)",8/15/15
2015-011259,91,Aggravated Robbery (Individual),"7710 MORRIS DR
Little Rock, Arkansas
(34.657499, -92.364744)",1/29/15
2015-020051,54,Breaking or Entering Vehicle,"1908 S BUCHANAN ST
Little Rock, Arkansas
(34.734503, -92.339309)",02/20/2015-02/21/2015
2015-000530,53,Burglary Commercial,"1823 S WOODROW ST
Little Rock, Arkansas
(34.733692, -92.306025)",01/01/2015-01/02/2015
2015-005287,50,Theft of property Felony,"303 N PIERCE ST
Little Rock, Arkansas
(34.753791, -92.338579)",1/15/15
2015-096165,51,Aggravated assault,"1103 S RINGO ST
Little Rock, Arkansas
(34.739741, -92.284208)",8/23/15
2015-020358,50,Breaking or Entering Vehicle,"5823 STONEWALL RD
Little Rock, Arkansas
(34.770843, -92.33937)",02/19/2015-02/23/2015
2015-114908,60,Burglary - Residential,"6 TALLYHO LN
Little Rock, Arkansas
(34.782647, -92.363579)",10/6/15
2015-062107,54,Battery 1st degree,"1810 RICE ST
Little Rock, Arkansas
(34.733438, -92.300365)",6/5/15
2015-001398,70,Breaking or Entering Vehicle,"1018 N SHACKLEFORD RD
Little Rock, Arkansas
(34.762913, -92.398394)",01/03/2015-01/04/2015
2015-142023,72,Theft of property Misd,"19301 CANTRELL RD
Little Rock, Arkansas
(34.810854, -92.484164)",11/01/2015-12/14/2015
2015-134233,40,Aggravated assault,"617 BROADWAY ST
Little Rock, Arkansas
(34.743531, -92.276131)",11/23/15
2015-068191,90,Breaking or Entering Vehicle,"9101 W MARKHAM ST
Little Rock, Arkansas
(34.753315, -92.374491)",6/19/15
2015-092130,40,Theft of property Misd,"515 E 8TH ST
Little Rock, Arkansas
(34.740556, -92.266125)",8/13/15
2015-008102,63,Aggravated Robbery (Individual),"1400 OLD FORGE DR
Little Rock, Arkansas
(34.765769, -92.383332)",1/21/15
2015-008256,61,Breaking or Entering Vehicle,"14 BARBARA DR
Little Rock, Arkansas
(34.732385, -92.346745)",01/21/2015-01/22/2015
2014-097222,63,Breaking or Entering Vehicle,"10524 W MARKHAM ST
Little Rock, Arkansas
(34.753884, -92.390419)",08/24/2014-08/25/2014
2015-019214,50,Breaking or Entering Vehicle,"1711 IRIS AV
Little Rock, Arkansas
(34.766271, -92.311278)",02/19/2015-02/20/2015
2015-127467,63,Theft of property Misd,"11220 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.771793, -92.398812)",11/5/15
2014-117995,80,Theft of property Misd,"6100 S UNIVERSITY AV
Little Rock, Arkansas
(34.6937, -92.346637)",10/10/2014-10/11/2014
2015-026581,52,Theft of property Misd,"2401 S IZARD ST
Little Rock, Arkansas
(34.725744, -92.283652)",3/12/15
2015-068333,81,Aggravated Robbery (Business),"2600 W 65TH ST
Little Rock, Arkansas
(34.68918, -92.307672)",6/20/15
2015-126429,62,Theft of property Misd,"3400 S UNIVERSITY AV
Little Rock, Arkansas
(34.721332, -92.342129)",11/3/15
2015-017244,63,Theft of property Misd,"10000 KANE DR
Little Rock, Arkansas
(34.761452, -92.384697)",02/13/2015-02/14/2015
2015-106124,80,Theft of property Felony,"6210 DIVIDEND ST
Little Rock, Arkansas
(34.691639, -92.319742)",09/11/2015-09/15/2015
2015-128692,52,Breaking or Entering Vehicle,"1500 S PARK ST
Little Rock, Arkansas
(34.736879, -92.297799)",11/9/15
2015-027410,62,Aggravated assault,"8724 COLONEL GLENN RD
Little Rock, Arkansas
(34.710497, -92.372939)",3/14/15
2015-040278,92,Theft of property Misd,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.3767)",4/14/15
2015-070511,53,Theft of property Misd,"2608 MAPLE ST
Little Rock, Arkansas
(34.727573, -92.315212)",6/25/15
2014-127772,72,Breaking or Entering Vehicle,"2010 DORADO BEACH DR
Little Rock, Arkansas
(34.777801, -92.43559)",11/02/2014-11/03/2014
2015-025995,54,Theft of property Misd,"5000 W 28TH ST
Little Rock, Arkansas
(34.726409, -92.329924)",3/7/15
2015-114760,91,Theft of property Misd,"8 TERRACE PL
Little Rock, Arkansas
(34.666613, -92.367609)",9/18/15
2014-094186,80,Theft of property Misd,"6170 SCOTT HAMILTON DR
Little Rock, Arkansas
(34.693188, -92.318494)",08/15/2014-08/18/2014
2015-008236,71,Theft of property Felony,"12932 WESTGLEN DR
Little Rock, Arkansas
(34.742547, -92.418008)",01/21/2015-01/22/2015
2015-004300,81,Burglary - Residential,"7019 AZALEA DR
Little Rock, Arkansas
(34.673279, -92.355748)",1/12/15
2015-059466,40,Breaking or Entering Vehicle,"1510 MAIN ST
Little Rock, Arkansas
(34.733923, -92.273119)",5/30/15
2015-070574,71,Theft of property Misd,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",6/25/15
2015-029156,82,Theft of property Felony,"8803 GEYER SPRINGS RD
Little Rock, Arkansas
(34.66987, -92.344322)",3/19/15
2014-049837,82,Theft of property Misd,"9517 SUNSET LN
Little Rock, Arkansas
(34.662957, -92.334782)",05/05/2014-05/06/2014
2015-114623,52,Aggravated Robbery (Individual),"200 W CHARLES BUSSEY
Little Rock, Arkansas
(34.729738, -92.275296)",10/5/15
2014-073105,71,Breaking or Entering Vehicle,"505 TRUMPLER ST
Little Rock, Arkansas
(34.749546, -92.417102)",06/28/2014-06/30/2014
2015-058616,51,Theft of property Misd,"700 W MARKHAM ST
Little Rock, Arkansas
(34.74909, -92.277695)",5/28/15
2015-138108,91,Theft of property Misd,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.3767)",12/4/15
2015-114741,63,Theft of property lost mislaid or delivered by mistake Felony,"800 BROOKSIDE DR
Little Rock, Arkansas
(34.759499, -92.373204)",09/30/2015-10/02/2015
2015-103509,50,Theft of property Misd,"5317 W 8TH ST
Little Rock, Arkansas
(34.744733, -92.332923)",9/5/15
2015-116491,43,Theft of property Felony,"700 E ROOSEVELT RD
Little Rock, Arkansas
(34.723919, -92.26576)",10/10/15
2015-141541,53,Burglary - Residential,"3217 W 23RD ST
Little Rock, Arkansas
(34.730178, -92.310114)",12/13/15
2015-125385,54,Breaking or Entering Vehicle,"4203 ASHER AV
Little Rock, Arkansas
(34.724586, -92.321402)",11/1/15
2014-147656,72,Breaking or Entering Vehicle,"18 VALLEY CREST CT
Little Rock, Arkansas
(34.794585, -92.458819)",12/23/2014-12/24/2014
2015-040683,81,Theft of property Misd,"6100 MITCHELL DR
Little Rock, Arkansas
(34.677294, -92.345445)",4/15/15
2014-051600,63,Theft of property Misd,"1221 BRECKENRIDGE DR
Little Rock, Arkansas
(34.765217, -92.387878)",05/10/2014-05/12/2014
2015-135297,93,Theft of property Misd,"1 BASS PRO DR
Little Rock, Arkansas
(34.657196, -92.408676)",11/25/15
2015-046939,41,Aggravated Robbery (Individual),"1000 E ROOSEVELT RD
Little Rock, Arkansas
(34.723693, -92.260675)",5/1/15
2015-106902,90,Theft of property Misd,"7700 N CHICOT RD
Little Rock, Arkansas
(34.680106, -92.361225)",9/17/15
2015-115908,93,Theft of property Felony,"9400 STAGECOACH RD
Little Rock, Arkansas
(34.665557, -92.421922)",10/08/2015-10/09/2015
2015-119626,43,Theft of property Misd,"4748 SPRINGER
Little Rock, Arkansas
(34.705465, -92.246609)",10/17/15
2015-115050,40,Theft of property Misd,"701 BROADWAY ST
Little Rock, Arkansas
(34.742833, -92.276273)",10/7/15
2015-069079,81,Aggravated assault,"10 DURHAM DR
Little Rock, Arkansas
(34.685436, -92.32709)",6/21/15
2015-068491,72,Burglary - Residential,"8 TRELON DR
Little Rock, Arkansas
(34.807375, -92.493221)",6/20/15
2015-030798,71,Breaking or Entering Vehicle,"13111 W MARKHAM ST
Little Rock, Arkansas
(34.753439, -92.423627)",3/23/15
2014-009888,72,Theft of property Felony,"106 DEAUVILLE DR
Little Rock, Arkansas
(34.78703, -92.477168)",01/13/2014-01/17/2014
2015-141826,52,Burglary Commercial,"1306 WRIGHT AV
Little Rock, Arkansas
(34.732016, -92.288915)",12/14/15
2015-063048,61,Breaking or Entering Vehicle,"6216 BOYLE PARK RD
Little Rock, Arkansas
(34.736248, -92.344702)",6/8/15
2015-096713,80,Theft of property Misd,"6425 S UNIVERSITY AV
Little Rock, Arkansas
(34.69196, -92.346764)",8/23/15
2015-136688,41,Theft of property Misd,"2727 BROADWAY ST
Little Rock, Arkansas
(34.72108, -92.27888)",11/25/2015-11/26/2015
2015-109594,41,Burglary - Residential,"16 NEW HORIZON LN
Little Rock, Arkansas
(34.720717, -92.270694)",9/23/15
2015-122017,82,Aggravated assault on an family or household member,"3409 BASELINE RD
Little Rock, Arkansas
(34.667843, -92.316752)",10/23/15
2015-135010,70,Theft of property Misd,"4208 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.789894, -92.398142)",11/23/15
2015-121890,82,Theft of property Misd,"5023 BASELINE RD
Little Rock, Arkansas
(34.6687, -92.334423)",10/23/15
2015-012238,52,Aggravated assault on an family or household member,"1520 W 34TH ST
Little Rock, Arkansas
(34.715672, -92.291183)",2/1/15
2014-011087,54,Theft of property Misd,"1223 ADAMS ST
Little Rock, Arkansas
(34.740002, -92.324998)",11/05/2013-12/11/2013
2015-019403,60,Burglary - Residential,"6420 BLUEBIRD DR
Little Rock, Arkansas
(34.746376, -92.346968)",2/20/15
2015-062664,54,Domestic Battering 2nd degree,"914 JEFFERSON ST
Little Rock, Arkansas
(34.743337, -92.325969)",6/7/15
2015-079871,43,Burglary - Residential,"1225 GEYER ST
Little Rock, Arkansas
(34.735978, -92.256065)",7/16/15
2015-017954,64,Burglary - Residential,"2215 HICKORYNUT CT
Little Rock, Arkansas
(34.734191, -92.403721)",2/16/15
2014-050829,72,Theft of property Misd,"19301 CANTRELL RD
Little Rock, Arkansas
(34.810854, -92.484164)",01/29/2014-05/08/2014
2015-018568,53,Theft of property Felony,"3411 W 7TH ST
Little Rock, Arkansas
(34.74566, -92.311511)",02/17/2015-02/18/2015
2014-070043,81,Theft of property Misd,"46 HARROW DR
Little Rock, Arkansas
(34.688128, -92.331092)",06/18/2014-06/23/2014
2015-146404,93,Breaking or Entering Vehicle,"1 LENDL
Little Rock, Arkansas
(34.667297, -92.431015)",12/24/2015-12/25/2015
2015-027969,53,Theft of property Misd,"3124 W ROOSEVELT RD
Little Rock, Arkansas
(34.725628, -92.310531)",3/16/15
2015-117618,40,Theft of property Misd,"617 BROADWAY ST
Little Rock, Arkansas
(34.743531, -92.276131)",10/13/15
2015-002212,62,Theft of property Misd,"6420 COLONEL GLENN RD
Little Rock, Arkansas
(34.717837, -92.346894)",1/6/15
2015-128722,60,Burglary - Residential,"6900 CANTRELL RD
Little Rock, Arkansas
(34.769606, -92.353236)",11/5/15
2015-025596,53,Theft of property Misd,"3001 W ROOSEVELT RD
Little Rock, Arkansas
(34.725602, -92.310064)",3/10/15
2014-109891,72,Breaking or Entering Vehicle,"16401 CHENAL VALLEY DR
Little Rock, Arkansas
(34.773831, -92.453431)",09/22/2014-09/23/2014
2015-025022,40,Theft of property Misd,"1711 MAIN ST
Little Rock, Arkansas
(34.731319, -92.2736)",3/8/15
2015-079750,90,Robbery (Business),"9125 STAGECOACH RD
Little Rock, Arkansas
(34.669288, -92.419305)",7/15/15
2015-101827,82,Domestic Battering 2nd degree,"9500 S HEIGHTS RD
Little Rock, Arkansas
(34.664516, -92.331698)",9/5/15
2015-140745,61,Theft of property Misd,"29 WOODCLIFF
Little Rock, Arkansas
(34.730062, -92.343638)",11/11/15
2015-043623,54,Aggravated assault,"1523 ADAMS ST
Little Rock, Arkansas
(34.737362, -92.325145)",4/23/15
2015-098171,52,Burglary - Residential,"1800 BROADWAY ST
Little Rock, Arkansas
(34.73147, -92.278489)",8/27/15
2014-089768,53,Theft of property Felony,"3900 W CHARLES BUSSEY AV
Little Rock, Arkansas
(34.733207, -92.317953)",08/06/2014-08/07/2014
2015-006997,71,Theft of property Misd,"13111 W MARKHAM ST
Little Rock, Arkansas
(34.753439, -92.423627)",1/19/15
2014-105015,71,Theft of property Felony,"13111 W MARKHAM ST
Little Rock, Arkansas
(34.753439, -92.423627)",09/11/2014-09/12/2014
2015-055121,82,Burglary - Residential,"8202 KIPLING LN
Little Rock, Arkansas
(34.675098, -92.337824)",5/20/15
2015-105942,54,Aggravated assault,"5116 W 31ST ST
Little Rock, Arkansas
(34.723882, -92.33164)",9/14/15
2015-112734,64,Theft of property Misd,"1720 JOHN BARROW RD
Little Rock, Arkansas
(34.737586, -92.372388)",09/30/2015-10/01/2015
2015-051615,50,Theft of property Misd,"401 N PINE ST
Little Rock, Arkansas
(34.754405, -92.316259)",5/8/15
2015-099691,63,Theft of property Misd,"8312 REYMERE DR
Little Rock, Arkansas
(34.772399, -92.366255)",8/30/15
2015-037031,71,Theft of property Felony,"500 NAPA VALLEY DR
Little Rock, Arkansas
(34.759726, -92.41156)",04/06/2015-04/07/2015
2014-094665,50,Breaking or Entering Vehicle,"5115 CRESTWOOD DR
Little Rock, Arkansas
(34.764542, -92.329807)",08/18/2014-08/19/2014
2014-040613,63,Aggravated assault,"10000 W MARKHAM ST
Little Rock, Arkansas
(34.753632, -92.384954)",04/13/2014-04/14/2014
2015-035923,64,Theft of property Misd,"11701 W MARKHAM ST
Little Rock, Arkansas
(34.754056, -92.406024)",4/4/15
2015-094385,80,Robbery (Individual),"6320 BUTLER RD
Little Rock, Arkansas
(34.691664, -92.331791)",8/18/15
2015-079458,80,Burglary - Residential,"2401 W 65TH ST
Little Rock, Arkansas
(34.688983, -92.304401)",07/14/2015-07/15/2015
2015-025319,70,Burglary - Residential,"609 MIMI LN
Little Rock, Arkansas
(34.759026, -92.39783)",3/9/15
2015-053827,81,Theft of property Misd,"6401 S UNIVERSITY AV
Little Rock, Arkansas
(34.692394, -92.346681)",5/17/15
2015-074276,60,Theft of property Misd,"9101 W MARKHAM ST
Little Rock, Arkansas
(34.753315, -92.374491)",7/3/15
2014-113494,51,Theft of property Misd,"801 S CHESTER ST
Little Rock, Arkansas
(34.742512, -92.282394)",09/29/2014-10/01/2014
2015-058460,72,Breaking or Entering Vehicle,"62 VIGNE
Little Rock, Arkansas
(34.785262, -92.47582)",05/27/2015-05/28/2015
2015-123216,64,Theft of property Misd,"11801 CHENAL
Little Rock, Arkansas
(34.748791, -92.4054)",10/26/15
2015-145247,70,Breaking or Entering Vehicle,"4314 OLD OAK DR
Little Rock, Arkansas
(34.794548, -92.431773)",12/21/2015-12/22/2015
2015-138270,52,Theft of property Misd,"2500 S ARCH ST
Little Rock, Arkansas
(34.724322, -92.280093)",12/4/15
2015-072861,71,Theft of property Misd,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",6/30/15
2015-105608,70,Aggravated Robbery (Business),"1424 N SHACKLEFORD RD
Little Rock, Arkansas
(34.767302, -92.39585)",9/14/15
2015-140714,93,Breaking or Entering Vehicle,"6 CONNERS CT
Little Rock, Arkansas
(34.664416, -92.430034)",12/10/2015-12/11/2015
2015-018908,51,Theft of property Misd,"1 CHILDRENS
Little Rock, Arkansas
(34.74354, -92.291465)",1/18/15
2015-027343,64,Battery 2nd degree,"1905 LABETTE MANOR DR
Little Rock, Arkansas
(34.735288, -92.376329)",3/14/15
2014-040695,50,Theft of property Felony,"5727 STONEWALL RD
Little Rock, Arkansas
(34.770787, -92.337842)",01/01/2014-01/30/2014
2015-138408,62,Theft of property Felony,"6200 COLONEL GLENN RD
Little Rock, Arkansas
(34.7177, -92.343676)",12/5/15
2015-148194,81,Burglary - Residential,"7315 AZALEA DR
Little Rock, Arkansas
(34.671196, -92.359042)",12/29/15
2015-006252,53,Breaking or Entering Vehicle,"300 RICE ST
Little Rock, Arkansas
(34.748149, -92.299884)",01/16/2015-01/17/2015
2015-042399,43,Theft of property Misd,"2616 CONFEDERATE
Little Rock, Arkansas
(34.722936, -92.258921)",04/18/2015-04/20/2015
2015-058996,62,Theft of property Misd,"4200 WESTERN HILLS AV
Little Rock, Arkansas
(34.714681, -92.360144)",05/21/2015-05/29/2015
2015-119622,61,Theft of property Misd,"6014 W 12TH ST
Little Rock, Arkansas
(34.741419, -92.342287)",10/17/15
2015-090942,71,Theft of property Misd,"501 NAPA VALLEY DR
Little Rock, Arkansas
(34.758991, -92.411363)",8/9/15
2015-129345,50,Breaking or Entering Vehicle,"2805 FOXCROFT RD
Little Rock, Arkansas
(34.777655, -92.362357)",11/10/2015-11/11/2015
2014-049593,42,Theft of property Felony,"1 AIRPORT RD
Little Rock, Arkansas
(34.727368, -92.218727)",04/20/2014-04/21/2014
2015-045060,90,Burglary - Residential,"102 WOODRIDGE CT
Little Rock, Arkansas
(34.691914, -92.397168)",4/26/15
2015-060299,52,Battery 2nd degree,"1850 S PULASKI ST
Little Rock, Arkansas
(34.731718, -92.288148)",6/1/15
2015-048037,52,Domestic Battering 2nd degree,"4119 W 13TH ST
Little Rock, Arkansas
(34.739645, -92.319859)",04/20/2015-05/01/2015
2015-119608,71,Breaking or Entering Vehicle,"1514 SHUMATE DR
Little Rock, Arkansas
(34.768513, -92.416126)",10/17/15
2015-006360,81,Theft of property Felony,"8520 TERRYSON DR
Little Rock, Arkansas
(34.672199, -92.340308)",1/17/15
2014-001608,53,Theft of property Misd,"2701 W 7TH ST
Little Rock, Arkansas
(34.745302, -92.303313)",12/18/2013-01/03/2014
2015-059960,91,Theft of property Felony,"7513 TWIN OAKS RD
Little Rock, Arkansas
(34.663129, -92.362214)",5/30/15
2014-118120,72,Burglary - Residential,"36 LAVAL
Little Rock, Arkansas
(34.795758, -92.469182)",10/10/2014-10/11/2014
2015-022770,70,Theft of property Misd,"11413 JAMESTOWN DR
Little Rock, Arkansas
(34.763076, -92.400963)",03/01/2015-03/02/2015
2015-067397,62,Burglary - Residential,"3504 ZION ST
Little Rock, Arkansas
(34.72113, -92.367538)",6/17/15
2015-144683,81,Burglary Commercial,"5420 BASELINE RD
Little Rock, Arkansas
(34.6689, -92.338621)",12/21/15
2015-046920,64,Theft of property Misd,"9601 BAPTIST HEALTH DR
Little Rock, Arkansas
(34.745812, -92.38368)",5/1/15
2015-051203,50,Theft of property Felony,"2501 RIVERFRONT DR
Little Rock, Arkansas
(34.774336, -92.311008)",05/10/2015-05/11/2015
2015-072313,50,Theft of property Felony,"3500 REBSAMEN PARK RD
Little Rock, Arkansas
(34.777866, -92.315)",6/26/15
2015-128453,90,Theft of property Felony,"18 COLONEL GLENN PLAZA DR
Little Rock, Arkansas
(34.710182, -92.404356)",11/8/15
2015-036638,51,Theft of property Misd,"2323 W 12TH ST
Little Rock, Arkansas
(34.739818, -92.299866)",4/6/15
2015-107706,60,Breaking or Entering Vehicle,"6415 R ST
Little Rock, Arkansas
(34.769726, -92.346059)",9/17/15
2015-138467,72,Burglary Commercial,"17200 CHENAL
Little Rock, Arkansas
(34.761751, -92.454186)",12/5/15
2015-144340,62,Domestic Battering 2nd degree,"7009 ARCHWOOD DR
Little Rock, Arkansas
(34.727397, -92.354424)",12/20/15
2014-094635,64,Breaking or Entering Vehicle,"208 FLEETWOOD DR
Little Rock, Arkansas
(34.7526, -92.403239)",08/18/2014-08/19/2014
2015-089885,81,Burglary - Residential,"38 CLEMENT DR
Little Rock, Arkansas
(34.681595, -92.327757)",8/7/15
2015-050871,71,Theft of property Felony,"915 NIX RD
Little Rock, Arkansas
(34.74571, -92.420355)",5/10/15
2015-097755,54,Terroristic Act,"100 S PINE ST
Little Rock, Arkansas
(34.751345, -92.316366)",8/24/15
2014-125719,51,Theft of property Felony,"1900 CANTRELL RD
Little Rock, Arkansas
(34.754082, -92.291918)",10/25/2014-10/29/2014
