IncidentNumber,District,offenseDesc1,IncidentAddress,IncidentDate
2016-141956,51,THEFT OF PROPERTY FELONY,"11 CHILDRENS WAY
Little Rock, Arkansas",12/19/2016-12/19/2016
2016-087828,91,THEFT OF PROPERTY FELONY,"10410 ASTON ST
Little Rock, Arkansas",7/30/2016-7/31/2016
2016-089354,92,THEFT OF PROPERTY FELONY,"10811 MABELVALE WEST RD
Little Rock, Arkansas",8/8/2016-8/9/2016
2016-109340,54,THEFT OF PROPERTY FELONY,"4500 W 14TH ST
Little Rock, Arkansas",9/28/16
2016-104143,91,THEFT OF PROPERTY FELONY,"9401 MABELVALE PIKE
Little Rock, Arkansas",9/14/16
2016-125729,91,THEFT OF PROPERTY FELONY,"9401 MABELVALE PIKE
Little Rock, Arkansas",09/01/2016-09/28/2016
2016-089862,93,THEFT OF PROPERTY FELONY,"0
Little Rock, Arkansas",8/5/16
2016-011084,91,THEFT OF PROPERTY FELONY,"11301 DEWITT LN
Little Rock, Arkansas",1/30/16
2016-019727,91,THEFT OF PROPERTY FELONY,"8325 FAIRWOOD RD
Little Rock, Arkansas",2/21/16
2016-040505,71,THEFT OF PROPERTY FELONY,"420 NAPA VALLEY DR
Little Rock, Arkansas",4/14/16
2016-043714,91,THEFT OF PROPERTY FELONY,"11314 DEWITT LN
Little Rock, Arkansas",4/22/16
2016-044763,91,THEFT OF PROPERTY FELONY,"7822 HILLSBORO RD
Little Rock, Arkansas",4/25/16
2016-047872,64,THEFT OF PROPERTY FELONY,"0
Little Rock, Arkansas",5/2/16
2016-053485,54,THEFT OF PROPERTY FELONY,"0
Little Rock, Arkansas",5/14/16
2016-063323,92,THEFT OF PROPERTY FELONY,"0
Little Rock, Arkansas",5/20/16
2016-063906,91,THEFT OF PROPERTY FELONY,"10500 WOODMAN ST
Little Rock, Arkansas",6/10/16
2016-075985,71,THEFT OF PROPERTY FELONY,"12220 MARA LYNN RD
Little Rock, Arkansas",7/6/16
2016-075708,71,THEFT OF PROPERTY FELONY,"420 NAPA VALLEY DR
Little Rock, Arkansas",7/7/16
2016-081113,91,THEFT OF PROPERTY FELONY,"10907 APPOMATTOX DR
Little Rock, Arkansas",7/19/16
2016-082070,71,THEFT OF PROPERTY FELONY,"100 BRECKENRIDGE DR
Little Rock, Arkansas",7/22/16
2016-083532,92,THEFT OF PROPERTY FELONY,"11618 OTTER CREEK SOUTH RD
Little Rock, Arkansas",7/26/16
2016-090706,51,THEFT OF PROPERTY FELONY,"0 INTERSTATE 630
Little Rock, Arkansas",8/11/16
2016-090259,80,THEFT OF PROPERTY FELONY,"0
Little Rock, Arkansas",8/11/16
2016-108869,91,THEFT OF PROPERTY FELONY,"12001 SARDIS RD
Little Rock, Arkansas",9/18/16
2016-110076,43,THEFT OF PROPERTY FELONY,"11 BARBER ST
Little Rock, Arkansas",9/29/16
2016-140204,71,THEFT OF PROPERTY FELONY,"420 NAPA VALLEY DR
Little Rock, Arkansas",12/15/16
2016-005616,92,THEFT OF PROPERTY FELONY,"12100 VIMY RIDGE RD
Little Rock, Arkansas",01/14/2016-01/15/2016
2016-012617,43,THEFT OF PROPERTY FELONY,"103 LEGACY CIR
Little Rock, Arkansas",01/20/2016-02/03/2016
2016-040060,90,THEFT OF PROPERTY FELONY,"13700 DAVID O DODD RD
Little Rock, Arkansas",04/09/2016-04/12/2016
2016-022482,81,THEFT OF PROPERTY FELONY,"0
Little Rock, Arkansas",06/01/2015-07/31/2015
2016-080288,64,THEFT OF PROPERTY FELONY,"0
Little Rock, Arkansas",07/17/2016-07/18/2016
2016-102148,52,THEFT OF PROPERTY FELONY,"3900 S ARCH ST
Little Rock, Arkansas",09/09/2016-09/10/2016
2016-015567,63,THEFT OF PROPERTY FELONY,"2120 CANAL PT
Little Rock, Arkansas",11/01/2014-02/11/2016
2016-053199,92,THEFT OF PROPERTY FELONY,"10420 HELM DR
Little Rock, Arkansas",5/14/2016-5/15/2016
2016-084767,42,THEFT OF PROPERTY FELONY,"3000 INTERMODAL LOOP RD
Little Rock, Arkansas",7/28/2016-7/29/2016
2016-090155,61,THEFT OF PROPERTY FELONY,"1024 S MISSISSIPPI ST
Little Rock, Arkansas",8/10/2016-8/11/2016
2016-122625,54,THEFT OF PROPERTY FELONY,"0
Little Rock, Arkansas",10/29/16
2016-010950,92,THEFT OF PROPERTY FELONY,"6 NICKEL CV
Little Rock, Arkansas",1/30/16
2016-084877,40,THEFT OF PROPERTY LOST MISLAID OR DELIVERED BY MISTAKE FELONY,"0
Little Rock, Arkansas",7/29/16
2016-014449,91,THEFT OF PROPERTY LOST MISLAID OR DELIVERED BY MISTAKE MISD,"9101 MABELVALE CTF
Little Rock, Arkansas",2/5/16
2016-014880,52,THEFT OF PROPERTY LOST MISLAID OR DELIVERED BY MISTAKE MISD,"3400 S ARCH ST
Little Rock, Arkansas",02/06/2016-02/07/2016
2016-102309,40,THEFT OF PROPERTY LOST MISLAID OR DELIVERED BY MISTAKE MISD,"320 S RIVER MARKET
Little Rock, Arkansas",09/09/2016-09/10/2016
2016-010951,91,THEFT OF PROPERTY MISD,"10620 LEGION HUT RD
Little Rock, Arkansas",1/30/16
2016-135751,62,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",12/3/15
2016-068828,92,THEFT OF PROPERTY MISD,"13624 VIMY RIDGE RD
Little Rock, Arkansas",6/22/16
2016-105150,64,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",9/17/16
2016-135452,81,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",12/2/16
2016-136406,64,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",12/5/16
2016-131992,91,THEFT OF PROPERTY MISD,"7 WHISPERING OAK DR
Little Rock, Arkansas",11/23/16
2016-131133,91,THEFT OF PROPERTY MISD,"13506 MARIETTA DR
Little Rock, Arkansas",11/21/16
2016-083599,71,THEFT OF PROPERTY MISD,"420 NAPA VALLEY DR
Little Rock, Arkansas",5/20/16
2016-065144,91,THEFT OF PROPERTY MISD,"8500 CASTLE VALLEY RD
Little Rock, Arkansas",6/13/16
2016-086460,54,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",7/12/16
2016-083263,93,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",7/25/16
2016-087877,92,THEFT OF PROPERTY MISD,"13607 ALEXANDER RD
Little Rock, Arkansas",8/5/16
2016-092865,93,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",8/18/16
2016-093304,71,THEFT OF PROPERTY MISD,"420 NAPA VALLEY DR
Little Rock, Arkansas",8/19/16
2016-103756,51,THEFT OF PROPERTY MISD,"11 CHILDRENS WAY
Little Rock, Arkansas",9/6/16
2016-106822,82,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",9/21/16
2016-107758,80,THEFT OF PROPERTY MISD,"4820 ARBOR PLACE CIR
Little Rock, Arkansas",9/22/16
2016-122065,71,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",10/29/16
2016-127035,92,THEFT OF PROPERTY MISD,"13607 ALEXANDER RD
Little Rock, Arkansas",11/10/16
2016-139465,90,THEFT OF PROPERTY MISD,"13700 DAVID O DODD RD
Little Rock, Arkansas",06/01/2016-12/13/2016
2016-074972,91,THEFT OF PROPERTY MISD,"8806 KENNESAW MOUNTAIN DR
Little Rock, Arkansas",7/5/2016-7/6/2016
2016-103046,92,THEFT OF PROPERTY MISD,"11701 OTTER CREEK SOUTH RD
Little Rock, Arkansas",9/12/16
2016-121240,92,THEFT OF PROPERTY MISD,"18 PENNY LN
Little Rock, Arkansas",10/24/2016-10/25/2016
2016-134020,92,THEFT OF PROPERTY MISD,"11618 OTTER CREEK SOUTH RD
Little Rock, Arkansas",11/16/2016-11/21/2016
2016-142167,92,THEFT OF PROPERTY MISD,"11618 OTTER CREEK SOUTH RD
Little Rock, Arkansas",12/15/2016-12/16/2016
2016-017200,91,THEFT OF PROPERTY MISD,"7813 MABELVALE CTF
Little Rock, Arkansas",2/15/15
2016-018401,64,THEFT OF PROPERTY MISD,"1960 S SHACKLEFORD RD
Little Rock, Arkansas",2/19/16
2016-032747,61,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",3/26/16
2016-040788,92,THEFT OF PROPERTY MISD,"11618 OTTER CREEK SOUTH RD
Little Rock, Arkansas",4/11/16
2016-053495,92,THEFT OF PROPERTY MISD,"11618 OTTER CREEK SOUTH RD
Little Rock, Arkansas",5/12/16
2016-052850,80,THEFT OF PROPERTY MISD,"0 W 65TH ST
Little Rock, Arkansas",5/14/16
2016-126867,52,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",11/9/16
2016-126855,71,THEFT OF PROPERTY MISD,"420 NAPA VALLEY DR
Little Rock, Arkansas",11/10/16
2016-130117,93,THEFT OF PROPERTY MISD,"0 FRONTAGE RD
Little Rock, Arkansas",11/18/16
2016-141152,91,THEFT OF PROPERTY MISD,"10500 WOODMAN ST
Little Rock, Arkansas",12/16/16
2016-039600,92,THEFT OF PROPERTY MISD,"11618 OTTER CREEK SOUTH RD
Little Rock, Arkansas",01/05/2016-03/29/2016
2016-035630,90,THEFT OF PROPERTY MISD,"6701 N CHICOT RD
Little Rock, Arkansas",03/30/2016-04/02/2016
2016-116979,81,THEFT OF PROPERTY MISD,"4611 STANTON RD
Little Rock, Arkansas",04/01/2016-10/16/2016
2016-135865,91,THEFT OF PROPERTY MISD,"10921 MARKS MILL CT
Little Rock, Arkansas",12/3/16
2016-075086,92,THEFT OF PROPERTY MISD,"2 PENNY LN
Little Rock, Arkansas",06/15/2016-07/01/2016
2016-131564,91,THEFT OF PROPERTY MISD,"7725 MABELVALE CTF
Little Rock, Arkansas",11/22/16
2016-136025,91,THEFT OF PROPERTY MISD,"13506 MARIETTA DR
Little Rock, Arkansas",11/24/16
2016-092612,41,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",8/17/16
2015-148278,92,THEFT OF PROPERTY MISD,"14800 ALEXANDER RD
Little Rock, Arkansas",12/30/15
2016-001420,92,THEFT OF PROPERTY MISD,"14800 ALEXANDER RD
Little Rock, Arkansas",1/4/16
2016-005520,92,THEFT OF PROPERTY MISD,"10811 MABELVALE WEST RD
Little Rock, Arkansas",1/12/16
2016-004258,81,THEFT OF PROPERTY MISD,"0 FRONTAGE RD
Little Rock, Arkansas",1/12/16
2016-005139,51,THEFT OF PROPERTY MISD,"1000 W LAHARPE
Little Rock, Arkansas",1/13/16
2016-010779,91,THEFT OF PROPERTY MISD,"11019 GETTYSBURG CT
Little Rock, Arkansas",1/29/16
2016-012710,91,THEFT OF PROPERTY MISD,"8708 PEA RIDGE CIR
Little Rock, Arkansas",2/3/16
2016-013026,92,THEFT OF PROPERTY MISD,"10811 MABELVALE WEST RD
Little Rock, Arkansas",2/4/16
2016-014249,90,THEFT OF PROPERTY MISD,"0 W 65TH ST
Little Rock, Arkansas",2/7/16
2016-022843,71,THEFT OF PROPERTY MISD,"420 NAPA VALLEY DR
Little Rock, Arkansas",2/13/16
2016-017488,82,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",2/16/16
2016-017724,92,THEFT OF PROPERTY MISD,"10000 DAVMAR DR
Little Rock, Arkansas",2/17/16
2016-017646,42,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",2/17/16
2016-023712,91,THEFT OF PROPERTY MISD,"12013 SARDIS RD
Little Rock, Arkansas",2/29/16
2016-023410,54,THEFT OF PROPERTY MISD,"1512 N BUCHANAN ST
Little Rock, Arkansas",3/2/16
2016-024633,91,THEFT OF PROPERTY MISD,"9818 MABELVALE MAIN ST
Little Rock, Arkansas",3/5/16
2016-026191,61,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",3/9/16
2016-029153,91,THEFT OF PROPERTY MISD,"7524 MABELVALE CTF
Little Rock, Arkansas",3/17/16
2016-030551,70,THEFT OF PROPERTY MISD,"5101 WELLS ST
Little Rock, Arkansas",3/20/16
2016-031641,50,THEFT OF PROPERTY MISD,"614 N BEECHWOOD ST
Little Rock, Arkansas",3/23/16
2016-036227,70,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",4/4/16
2016-040044,91,THEFT OF PROPERTY MISD,"8424 MABELVALE CTF
Little Rock, Arkansas",4/13/16
2016-041941,81,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",4/18/16
2016-046533,61,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",4/29/16
2016-051489,92,THEFT OF PROPERTY MISD,"9823 MEADOW LN
Little Rock, Arkansas",5/11/16
2016-069369,91,THEFT OF PROPERTY MISD,"8500 CASTLE VALLEY RD
Little Rock, Arkansas",5/17/16
2016-055344,62,THEFT OF PROPERTY MISD,"0 W 36TH ST
Little Rock, Arkansas",5/20/16
2016-109473,60,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",6/1/16
2016-062900,91,THEFT OF PROPERTY MISD,"7713 HILLSBORO RD
Little Rock, Arkansas",6/3/16
2016-061890,71,THEFT OF PROPERTY MISD,"420 NAPA VALLEY DR
Little Rock, Arkansas",6/5/16
2016-062340,54,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",6/7/16
2016-063726,92,THEFT OF PROPERTY MISD,"10601 OTTER CREEK EAST BLVD
Little Rock, Arkansas",6/10/16
2016-073282,64,THEFT OF PROPERTY MISD,"1003 MARLYN DR
Little Rock, Arkansas",6/16/16
2016-066886,61,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",6/17/16
2016-067992,91,THEFT OF PROPERTY MISD,"9914 WOODLAND DR
Little Rock, Arkansas",6/20/16
2016-069920,92,THEFT OF PROPERTY MISD,"13624 VIMY RIDGE RD
Little Rock, Arkansas",6/24/16
2016-069772,51,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",6/24/16
2016-071535,64,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",6/28/16
2016-072239,92,THEFT OF PROPERTY MISD,"79 ANGEL CT
Little Rock, Arkansas",6/29/16
2016-071942,54,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",6/29/16
2016-072403,43,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",6/30/16
2016-074711,91,THEFT OF PROPERTY MISD,"8524 CASTLE VALLEY RD
Little Rock, Arkansas",7/5/16
2016-076631,43,THEFT OF PROPERTY MISD,"3000 SPRINGER RD
Little Rock, Arkansas",7/10/16
2016-078531,62,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",7/14/16
2016-079607,92,THEFT OF PROPERTY MISD,"10510 HELM DR
Little Rock, Arkansas",7/16/16
2016-082499,61,THEFT OF PROPERTY MISD,"28 S BOWMAN RD
Little Rock, Arkansas",7/23/16
2016-087052,92,THEFT OF PROPERTY MISD,"13607 ALEXANDER RD
Little Rock, Arkansas",8/3/16
2016-090218,91,THEFT OF PROPERTY MISD,"9600 COCHRANE ST
Little Rock, Arkansas",8/9/16
2016-090879,92,THEFT OF PROPERTY MISD,"12024 VIMY RIDGE RD
Little Rock, Arkansas",8/12/16
2016-090587,81,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",8/12/16
2016-095393,91,THEFT OF PROPERTY MISD,"8023 E LEGION RD
Little Rock, Arkansas",8/23/16
2016-099035,91,THEFT OF PROPERTY MISD,"11101 APPOMATTOX DR
Little Rock, Arkansas",9/2/16 0:00
2016-099747,92,THEFT OF PROPERTY MISD,"13607 ALEXANDER RD
Little Rock, Arkansas",9/3/16 0:00
2016-101487,90,THEFT OF PROPERTY MISD,"13700 DAVID O DODD RD
Little Rock, Arkansas",9/6/16 0:00
2016-103190,91,THEFT OF PROPERTY MISD,"9100 MABELVALE CTF
Little Rock, Arkansas",9/13/16 0:00
2016-103835,60,THEFT OF PROPERTY MISD,"1209 N BRYAN ST
Little Rock, Arkansas",9/14/16
2016-103810,40,THEFT OF PROPERTY MISD,"323 E PRESIDENT CLINTON
Little Rock, Arkansas",9/14/16
2016-105037,82,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",9/16/16
2016-117659,60,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",10/18/16
2016-131464,53,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",11/22/16
2016-131405,61,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",11/22/16
2016-138848,91,THEFT OF PROPERTY MISD,"12521 HEINKE RD
Little Rock, Arkansas",12/11/16
2016-018209,72,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",01/25/2016-02/08/2016
2016-022780,64,THEFT OF PROPERTY MISD,"1 LASALLE DR
Little Rock, Arkansas",02/29/2016-03/01/2016
2016-042087,71,THEFT OF PROPERTY MISD,"420 NAPA VALLEY DR
Little Rock, Arkansas",03/26/2016-04/18/2016
2016-051459,92,THEFT OF PROPERTY MISD,"14800 ALEXANDER RD
Little Rock, Arkansas",05/01/2016-05/10/2016
2016-133713,60,THEFT OF PROPERTY MISD,"920 N BRYAN ST
Little Rock, Arkansas",11/27/2016-11/28/2016
2016-003937,92,THEFT OF PROPERTY MISD,"11408 OTTER CREEK EAST BLVD
Little Rock, Arkansas",11/30/2015-12/29/2015
2016-002255,40,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",11/9/2015-1/6/2016
2016-141122,93,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",12/16/2016-12/17/2016
2016-068138,91,THEFT OF PROPERTY MISD,"8500 CASTLE VALLEY RD
Little Rock, Arkansas",4/20/2016-6/20/2016
2016-055238,63,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",5/19/2016-5/20/2016
2016-072574,92,THEFT OF PROPERTY MISD,"11601 OTTER CREEK SOUTH RD
Little Rock, Arkansas",6/30/2016-7/1/2016
2016-091274,53,THEFT OF PROPERTY MISD,"0 INTERSTATE 630
Little Rock, Arkansas",8/13/2016-8/14/2016
2016-093768,50,THEFT OF PROPERTY MISD,"0
Little Rock, Arkansas",8/20/16
2016-077964,93,THEFT OF RECYCLABLE MATERIALS,"0
Little Rock, Arkansas",7/13/16
2016-030598,82,AGGRAVATED ASSAULT,"6401 BASELINE RD
Little Rock, Arkansas
(34.6694, -92.351731)",3/20/16
2016-081130,42,AGGRAVATED ASSAULT,"6606 PECAN LN
Little Rock, Arkansas
(34.718673, -92.195286)",7/20/16 0:00
2016-136232,81,AGGRAVATED ASSAULT,"50 WESTMINISTER DR
Little Rock, Arkansas
(34.686156, -92.331894)",12/5/16
2016-141283,53,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"2912 W 25TH ST
Little Rock, Arkansas
(34.728322, -92.306944)",12/17/2016-12/17/2016
2016-024801,81,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"9 NANTUCKET CIR
Little Rock, Arkansas
(34.685151, -92.342033)",3/6/16
2016-062332,70,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"315 N SHACKLEFORD RD
Little Rock, Arkansas
(34.757015, -92.39384)",6/6/2016-6/7/2016
2016-145427,82,AGGRAVATED ASSAULT,"5813 BASELINE RD
Little Rock, Arkansas
(34.669035, -92.341546)",12/28/16
2016-050386,52,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"3600 HIGH DR
Little Rock, Arkansas
(34.713761, -92.289665)",5/8/16
2016-103163,81,AGGRAVATED ROBBERY (INDIVIDUAL),"4504 WEYMOUTH DR
Little Rock, Arkansas
(34.670587, -92.327651)",9/12/16
2016-122743,62,AGGRAVATED ROBBERY (BUSINESS),"8510 COLONEL GLENN RD
Little Rock, Arkansas
(34.71056, -92.370749)",10/30/16
2016-040397,90,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"1 W WINDSOR DR
Little Rock, Arkansas
(34.694382, -92.356949)",4/14/16
2016-076460,41,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"1515 S ROCK ST
Little Rock, Arkansas
(34.733464, -92.269521)",07/05/2016-07/09/2016
2016-123863,40,AGGRAVATED ASSAULT,"1515 CUMBERLAND ST
Little Rock, Arkansas
(34.733497, -92.270738)",11/2/16
2016-070937,82,AGGRAVATED ROBBERY (BUSINESS),"3409 BASELINE RD
Little Rock, Arkansas
(34.667843, -92.316752)",6/27/16
2016-004563,64,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"3803 WEST ST
Little Rock, Arkansas
(34.718743, -92.382026)",1/12/16
2016-036087,54,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"4305 W 23RD ST
Little Rock, Arkansas
(34.730649, -92.322078)",4/1/16
2016-069996,80,AGGRAVATED ROBBERY (BUSINESS),"5103 ASHER AVE
Little Rock, Arkansas
(34.720952, -92.330537)",6/25/2016-6/25/2016
2016-110897,53,AGGRAVATED ASSAULT,"1600 WOLFE ST
Little Rock, Arkansas
(34.735448, -92.293051)",10/1/16
2016-121524,64,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"2123 LABETTE MANOR DR
Little Rock, Arkansas
(34.734697, -92.376363)",10/27/15
2016-126695,82,AGGRAVATED ROBBERY (BUSINESS),"5609 BASELINE RD
Little Rock, Arkansas
(34.669001, -92.340815)",11/9/16
2016-134212,52,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"2408 S RINGO ST
Little Rock, Arkansas
(34.725413, -92.286065)",11/29/16
2016-055423,91,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"9004 MERRIVALE DR
Little Rock, Arkansas
(34.668759, -92.372934)",5/20/16
2016-038758,80,AGGRAVATED ASSAULT,"5201 GEYER SPRINGS RD
Little Rock, Arkansas
(34.702553, -92.342752)",4/10/16
2016-043815,82,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"3804 PINE CONE DR
Little Rock, Arkansas
(34.661686, -92.321947)",4/22/16
2016-052090,54,AGGRAVATED ROBBERY (INDIVIDUAL),"3323 FAIR PARK
Little Rock, Arkansas
(34.721708, -92.334379)",5/12/16
2016-096342,53,AGGRAVATED ASSAULT,"1724 BOOKER ST
Little Rock, Arkansas
(34.73467, -92.307127)",8/26/16
2016-097939,42,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"6606 PECAN LN
Little Rock, Arkansas
(34.718673, -92.195286)",8/30/16
2016-126913,52,AGGRAVATED ASSAULT,"1600 W 18TH ST
Little Rock, Arkansas
(34.733541, -92.290743)",11/10/16
2016-130786,54,AGGRAVATED ASSAULT,"1421 S ELM ST
Little Rock, Arkansas
(34.7381, -92.319108)",11/20/16
2016-068967,81,AGGRAVATED ROBBERY (BUSINESS),"5420 BASELINE RD
Little Rock, Arkansas
(34.6689, -92.338621)",6/22/2016-6/23/2016
2016-001980,40,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"617 BROADWAY ST
Little Rock, Arkansas
(34.743367, -92.276163)",1/6/16
2016-026147,82,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"7 OLD GLORY CT
Little Rock, Arkansas
(34.661122, -92.34072)",3/9/16
2016-014840,61,AGGRAVATED ROBBERY (BUSINESS),"8415 W MARKHAM ST
Little Rock, Arkansas
(34.753158, -92.368194)",2/9/16
2016-074158,82,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"9101 AUXOR RD
Little Rock, Arkansas
(34.666569, -92.315418)",7/4/16
2016-145231,81,AGGRAVATED ASSAULT,"8219 INTERSTATE 30
Little Rock, Arkansas
(34.678319, -92.339369)",12/28/16
2016-095526,93,AGGRAVATED ASSAULT,"34 NANDINA CIR
Little Rock, Arkansas
(34.654221, -92.432793)",8/24/16 0:00
2016-025626,80,AGGRAVATED ASSAULT,"38 ALLYSON CIR
Little Rock, Arkansas
(34.693901, -92.331252)",3/8/16
2016-131998,72,AGGRAVATED ROBBERY (INDIVIDUAL),"16001 CHENAL PKWY
Little Rock, Arkansas
(34.7575, -92.445993)",11/23/2016-11/23/2016
2016-117195,52,AGGRAVATED ROBBERY (INDIVIDUAL),"1600 W 16TH ST
Little Rock, Arkansas
(34.735541, -92.290898)",10/17/16
2016-099480,52,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"1000 W 34TH ST
Little Rock, Arkansas
(34.715465, -92.286264)",9/3/16
2016-104958,82,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"5322 SOUTHBORO CT
Little Rock, Arkansas
(34.664862, -92.338921)",9/17/16
2016-065109,90,AGGRAVATED ASSAULT,"7414 MABELVALE PIKE
Little Rock, Arkansas
(34.684106, -92.358982)",6/13/16
2016-014759,64,AGGRAVATED ROBBERY (INDIVIDUAL),"600 HARDIN RD
Little Rock, Arkansas
(34.748118, -92.398477)",2/9/16
2016-081518,80,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"5424 W 51ST ST
Little Rock, Arkansas
(34.703283, -92.336652)",07/19/2016-07/21/2016
2016-078416,64,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"3901 LUDWIG ST
Little Rock, Arkansas
(34.717939, -92.374195)",7/14/16
2016-098918,72,AGGRAVATED ASSAULT,"10 CHENAL CLUB BLVD
Little Rock, Arkansas
(34.779977, -92.475193)",9/2/16 0:00
2016-048022,54,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"1518 S TAYLOR ST
Little Rock, Arkansas
(34.737781, -92.335759)",5/2/16
2016-065231,53,AGGRAVATED ASSAULT,"2820 W 15TH ST
Little Rock, Arkansas
(34.736999, -92.30568)",6/14/16
2016-023034,62,AGGRAVATED ROBBERY (BUSINESS),"3412 S UNIVERSITY AV
Little Rock, Arkansas
(34.720879, -92.342144)",3/1/2016-3/2/2016
2016-030484,41,AGGRAVATED ROBBERY (BUSINESS),"2415 BROADWAY ST
Little Rock, Arkansas
(34.725271, -92.2788)",3/20/16
2016-115252,80,AGGRAVATED ASSAULT,"5500 SCOTT HAMILTON DR
Little Rock, Arkansas
(34.698392, -92.317947)",10/12/16
2016-124072,82,AGGRAVATED ROBBERY (INDIVIDUAL),"10423 CHICOT RD
Little Rock, Arkansas
(34.655388, -92.36317)",11/3/16
2016-106360,52,AGGRAVATED ASSAULT,"1700 W 16TH ST
Little Rock, Arkansas
(34.73557, -92.291833)",9/20/16
2016-002374,64,AGGRAVATED ROBBERY (BUSINESS),"111 N BOWMAN RD
Little Rock, Arkansas
(34.755365, -92.406236)",1/7/16
2016-011600,63,AGGRAVATED ROBBERY (BUSINESS),"10500 W MARKHAM ST
Little Rock, Arkansas
(34.753876, -92.389536)",1/31/16
2016-121908,53,AGGRAVATED ASSAULT,"2611 JOHNSON ST
Little Rock, Arkansas
(34.727059, -92.308551)",10/28/16
2016-133617,54,AGGRAVATED ASSAULT,"1923 FAIR PARK
Little Rock, Arkansas
(34.733921, -92.334802)",11/27/16
2016-091371,51,AGGRAVATED ROBBERY (BUSINESS),"1003 DR MARTIN LUTHER KING DR
Little Rock, Arkansas
(34.74121, -92.289168)",8/14/16
2016-051865,52,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"1519 S SCHILLER ST
Little Rock, Arkansas
(34.736179, -92.296627)",5/12/16
2016-018571,90,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"7700 N CHICOT RD
Little Rock, Arkansas
(34.680202, -92.36127)",2/19/16
2016-107564,82,AGGRAVATED ASSAULT,"5520 SOUTHBORO DR
Little Rock, Arkansas
(34.662827, -92.340142)",9/23/16
